Time: 28.002, Acid: 0, HarqErrorSum: 1, HarqErrorRateUlCount: 167, SumTotal: 16, CountTotal: 4529, HARQErrorRate: 0.00598802
Time: 28.003, Acid: 1, HarqErrorSum: 1, HarqErrorRateUlCount: 167, SumTotal: 16, CountTotal: 3934, HARQErrorRate: 0.00598802
Time: 28.004, Acid: 2, HarqErrorSum: 2, HarqErrorRateUlCount: 167, SumTotal: 15, CountTotal: 3904, HARQErrorRate: 0.011976
Time: 28.005, Acid: 3, HarqErrorSum: 3, HarqErrorRateUlCount: 167, SumTotal: 13, CountTotal: 3539, HARQErrorRate: 0.0179641
Time: 29, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 165, SumTotal: 16, CountTotal: 4099, HARQErrorRate: 0
Time: 29.001, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 165, SumTotal: 15, CountTotal: 4069, HARQErrorRate: 0
Time: 29.002, Acid: 3, HarqErrorSum: 1, HarqErrorRateUlCount: 164, SumTotal: 14, CountTotal: 3703, HARQErrorRate: 0.00609756
Time: 29.003, Acid: 4, HarqErrorSum: 2, HarqErrorRateUlCount: 165, SumTotal: 16, CountTotal: 3528, HARQErrorRate: 0.0121212
Time: 29.004, Acid: 5, HarqErrorSum: 4, HarqErrorRateUlCount: 165, SumTotal: 13, CountTotal: 3506, HARQErrorRate: 0.0242424
Time: 29.005, Acid: 0, HarqErrorSum: 1, HarqErrorRateUlCount: 167, SumTotal: 17, CountTotal: 4696, HARQErrorRate: 0.00598802
Time: 30, Acid: 5, HarqErrorSum: 1, HarqErrorRateUlCount: 166, SumTotal: 14, CountTotal: 3672, HARQErrorRate: 0.0060241
Time: 30.001, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 166, SumTotal: 17, CountTotal: 4862, HARQErrorRate: 0
Time: 30.002, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 167, SumTotal: 16, CountTotal: 4266, HARQErrorRate: 0
Time: 30.003, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 167, SumTotal: 15, CountTotal: 4236, HARQErrorRate: 0
Time: 30.004, Acid: 3, HarqErrorSum: 2, HarqErrorRateUlCount: 167, SumTotal: 16, CountTotal: 3870, HARQErrorRate: 0.011976
Time: 30.005, Acid: 4, HarqErrorSum: 3, HarqErrorRateUlCount: 167, SumTotal: 19, CountTotal: 3695, HARQErrorRate: 0.0179641
Time: 31, Acid: 3, HarqErrorSum: 4, HarqErrorRateUlCount: 166, SumTotal: 20, CountTotal: 4036, HARQErrorRate: 0.0240964
Time: 31.001, Acid: 4, HarqErrorSum: 3, HarqErrorRateUlCount: 166, SumTotal: 22, CountTotal: 3861, HARQErrorRate: 0.0180723
Time: 31.002, Acid: 5, HarqErrorSum: 7, HarqErrorRateUlCount: 167, SumTotal: 21, CountTotal: 3839, HARQErrorRate: 0.0419162
Time: 31.003, Acid: 0, HarqErrorSum: 9, HarqErrorRateUlCount: 167, SumTotal: 26, CountTotal: 5029, HARQErrorRate: 0.0538922
Time: 31.004, Acid: 1, HarqErrorSum: 6, HarqErrorRateUlCount: 167, SumTotal: 22, CountTotal: 4433, HARQErrorRate: 0.0359281
Time: 31.005, Acid: 2, HarqErrorSum: 4, HarqErrorRateUlCount: 167, SumTotal: 19, CountTotal: 4403, HARQErrorRate: 0.0239521
Time: 32, Acid: 1, HarqErrorSum: 3, HarqErrorRateUlCount: 166, SumTotal: 25, CountTotal: 4599, HARQErrorRate: 0.0180723
