Time: 17.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 77, SumTotal: 0, CountTotal: 1327, HARQErrorRate: 0
Time: 17.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 70, SumTotal: 0, CountTotal: 1322, HARQErrorRate: 0
Time: 18.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 68, SumTotal: 0, CountTotal: 1403, HARQErrorRate: 0
Time: 18.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 70, SumTotal: 0, CountTotal: 1396, HARQErrorRate: 0
Time: 18.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 78, SumTotal: 0, CountTotal: 1414, HARQErrorRate: 0
Time: 18.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 82, SumTotal: 0, CountTotal: 1406, HARQErrorRate: 0
Time: 18.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 88, SumTotal: 0, CountTotal: 1415, HARQErrorRate: 0
Time: 18.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 86, SumTotal: 0, CountTotal: 1408, HARQErrorRate: 0
Time: 18.008, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 79, SumTotal: 0, CountTotal: 1408, HARQErrorRate: 0
Time: 18.009, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 73, SumTotal: 0, CountTotal: 1398, HARQErrorRate: 0
Time: 19, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 87, SumTotal: 0, CountTotal: 1495, HARQErrorRate: 0
Time: 19.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 88, SumTotal: 0, CountTotal: 1486, HARQErrorRate: 0
Time: 19.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 82, SumTotal: 0, CountTotal: 1485, HARQErrorRate: 0
Time: 19.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 74, SumTotal: 0, CountTotal: 1470, HARQErrorRate: 0
Time: 19.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 68, SumTotal: 0, CountTotal: 1482, HARQErrorRate: 0
Time: 19.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 71, SumTotal: 0, CountTotal: 1477, HARQErrorRate: 0
Time: 19.006, Acid: 2, HarqErrorSum: 0, HarqErrorRateUlCount: 77, SumTotal: 0, CountTotal: 1492, HARQErrorRate: 0
Time: 19.007, Acid: 3, HarqErrorSum: 0, HarqErrorRateUlCount: 82, SumTotal: 0, CountTotal: 1490, HARQErrorRate: 0
Time: 20.001, Acid: 5, HarqErrorSum: 0, HarqErrorRateUlCount: 77, SumTotal: 0, CountTotal: 1563, HARQErrorRate: 0
Time: 20.002, Acid: 6, HarqErrorSum: 0, HarqErrorRateUlCount: 83, SumTotal: 0, CountTotal: 1568, HARQErrorRate: 0
Time: 20.003, Acid: 7, HarqErrorSum: 0, HarqErrorRateUlCount: 88, SumTotal: 0, CountTotal: 1558, HARQErrorRate: 0
Time: 20.004, Acid: 0, HarqErrorSum: 0, HarqErrorRateUlCount: 85, SumTotal: 0, CountTotal: 1567, HARQErrorRate: 0
Time: 20.005, Acid: 1, HarqErrorSum: 0, HarqErrorRateUlCount: 75, SumTotal: 0, CountTotal: 1552, HARQErrorRate: 0
Time: 20.006, Acid: 2, HarqErrorSum: 1, HarqErrorRateUlCount: 71, SumTotal: 1, CountTotal: 1563, HARQErrorRate: 0.0140845
Time: 20.007, Acid: 3, HarqErrorSum: 1, HarqErrorRateUlCount: 69, SumTotal: 1, CountTotal: 1559, HARQErrorRate: 0.0144928
Time: 20.008, Acid: 4, HarqErrorSum: 1, HarqErrorRateUlCount: 75, SumTotal: 1, CountTotal: 1570, HARQErrorRate: 0.0133333
Time: 21, Acid: 4, HarqErrorSum: 0, HarqErrorRateUlCount: 121, SumTotal: 1, CountTotal: 1691, HARQErrorRate: 0
Time: 21.001, Acid: 5, HarqErrorSum: 1, HarqErrorRateUlCount: 122, SumTotal: 1, CountTotal: 1685, HARQErrorRate: 0.00819672
Time: 21.002, Acid: 6, HarqErrorSum: 1, HarqErrorRateUlCount: 122, SumTotal: 1, CountTotal: 1690, HARQErrorRate: 0.00819672
Time: 21.003, Acid: 7, HarqErrorSum: 1, HarqErrorRateUlCount: 122, SumTotal: 1, CountTotal: 1680, HARQErrorRate: 0.00819672
Time: 21.004, Acid: 0, HarqErrorSum: 1, HarqErrorRateUlCount: 120, SumTotal: 1, CountTotal: 1687, HARQErrorRate: 0.00833333
Time: 21.005, Acid: 1, HarqErrorSum: 1, HarqErrorRateUlCount: 121, SumTotal: 1, CountTotal: 1673, HARQErrorRate: 0.00826446
